channel_id,name,subscribers,link,description,create_date,message_cnt
34,KondrashovInvest,51123,https://t.me/Kondrashovinvest,Канал об инвестициях в различные компании до выхода на биржи. Покупка IPO. Вложил 4 млн рублей в марте 2019 года. Своя команда аналитиков,2019-03-14 16:23:45,655.0
35,Invest Heroes,50528,https://t.me/InvestHeroes,Путь от Телеграм-канала до инвестиционной компании!,2018-04-08 22:06:16,77.0
36,Залим Сохов - ON FLEEK investing,49418,https://t.me/onfleek419,Автор канала - Залим Сохов @onfleek024,2019-11-21 20:54:18,4432.0
37,💰 WALL STREET PRO,43658,https://t.me/thewallstreetpro,Авторский об инвестициях на глобальных рынках.,2017-10-07 09:05:32,833.0
38,Иксанул,41778,https://t.me/xsanul,"О том, как относиться к деньгам и что делать с ними.",2021-06-02 00:17:46,4088.0
39,КИТЫ Инвестиций🐋,40267,https://t.me/kitinvest,Практика инвестиций. Обзоры. Мнения. Инструкции. Автор @fakeev,2019-08-02 09:05:28,1042.0
41,Путь инвестора,38449,https://t.me/put_investor,"Артём, квалифицированный инвестор и автор YouTube канала «Путь инвестора» обычным языком рассказывает о сложном мире инвестиций",2020-09-20 12:43:37,23.0
42,INSpace | Инвестиции,38359,https://t.me/INSpac3,"Опытный инвестор делится своими идеями, прогнозами и успехами.",2021-10-11 10:11:16,2272.0
43,ИнвестТема | Литвинов Владимир,36447,https://t.me/particular_trader,Канал об инвестициях на финансовых рынках,2017-05-25 19:42:06,25.0
44,"Сергей Елисеев - Курс доллара, евро и рубля, деньги и инвестиции",35832,https://t.me/SergeiEliseevOfficial,"Курс доллара, экономика, деньги и инвестиции.",2019-10-10 11:55:03,878.0
45,Investmeal,34240,https://t.me/investmeal,"Канал об инвестициях на фондовом рынке, экономике и финансах.",2021-02-13 12:00:06,485.0
46,Ирина Аргентова | Pro инвестиции,34232,https://t.me/finance_for_life,Про инвестиции на понятном языке,2020-07-13 19:33:29,46.0
47,Канал Бромберга,33747,https://t.me/unclebromberg,Про инвестиции и финансы честно.,2019-06-08 18:40:30,3349.0
48,"Abeta - акции, облигации, аналитика",33459,https://t.me/aabeta,Закрытая аналитика и торговые идеи крупнейших инвестдомов мира.,2020-02-18 06:34:05,741.0
49,Дивидендный миллионер,33175,https://t.me/Div_millioner,"Вещаю о том, как с помощью акционерских выплат получать пассивный доход на дивидендах от 100,000р в месяц",2019-04-22 11:17:56,125.0
50,Движение FIRE,33038,https://t.me/wkpbro,"Путь к FIRE с нуля. Обретение финансовой независимости и обеспечение пассивного дохода, необходимого для комфортной жизни. Инвестиции в фондовый рынок.",2020-01-04 21:44:45,301.0
51,КапиталопедиЯ |Инвест Идеи,32858,https://t.me/kapitalopedia,Возьми под контроль свои деньги и заставь их работать,2017-07-30 07:05:33,44.0
52,"Как жить - не тужить☝🏻Инвестиции в недвижимость, новостройки, пассивный доход от аренды квартир.",30992,https://t.me/Kharyb,Связь со мной: @Kharybin_Invest или +7 989 841-1451,2019-10-11 20:24:29,587.0
53,Российские акции,29936,https://t.me/russia_companies,Новости российских компаний.,2022-03-29 07:23:32,93.0
54,Cbonds.ru,28760,https://t.me/cbonds,"Облигации: премаркетинг, новости и аналитика от http://cbonds.ru",2017-07-28 07:13:26,7994.0
55,FA INVESTMENT,28740,https://t.me/fainvestment_channel,"Инвестиции, трейдинг, экономика",2021-03-15 09:06:18,84.0
56,FREEDOM FINANCE OFFICIAL,27697,https://t.me/FREEDOMFINANCE,"Freedom Finance Global. Официальные новости и анонсы, инвестиционные идеи, сделки IPO, рекомендации на рынках США и других стран.",2017-10-13 10:10:56,43.0
58,1 000 долларов дивидендами | Авторский блог,25853,https://t.me/Dividends_1000,Покупаю американские акции. Получаю дивиденды. С нуля до $1000 дивидендами в месяц,2019-04-05 07:50:51,480.0
59,MOEX-info,25747,https://t.me/moex_info,Данные с Московской Биржи в удобной форме.,2020-05-08 08:32:39,5.0
60,Фондю каждый день,25702,https://t.me/fondu_10,"Регулярно вкладываем в фондовый рынок и публично показываем, что из этого получается!",2016-05-13 09:31:24,983.0
61,Квалифицированный инвестор,24971,https://t.me/investkval,Делюсь торговыми идеями и аналитикой по фондовому рынку - БЕСПЛАТНО,2023-03-09 10:55:07,49.0
62,ПРОГНОЗЫ ПО ДИВИДЕНДАМ,24631,https://t.me/divalerts,Прогнозы аналитических агентств о дивидендах российских компаний  реклама: @investmintru,2019-08-15 00:51:28,58.0
63,Finrange.com | Дмитрий Баженов,24355,https://t.me/finrangecom,Трейдер и квалифицированный инвестор. Ex-начальник отдела анализа финансовых рынков в КИТ Финанс Брокер. Основатель сервиса по анализу акций для частных инвесторов finrange.com.,2018-06-03 08:57:20,12.0
64,PRObonds | Иволга Капитал,24315,https://t.me/probonds,Про высокодоходные облигации и не только,2018-08-02 11:41:08,88.0
65,Stock News,24064,https://t.me/StockNews100,Биржевые новости.,2019-10-18 21:31:47,18062.0
66,Хедлайнер. Бизнес Журнал,23931,https://t.me/HeadlinerJournal,Крупный бизнесмен всегда должен следить за трендами!,2021-11-08 21:20:30,3410.0
67,P.S investing,23006,https://t.me/malishok_fonda,Личный блог Попова Сергея (Malishok),2021-10-23 10:27:37,32.0
68,Усиленные Инвестиции,22803,https://t.me/eninv,Публичный канал компании «Усиленные Инвестиции»,2020-01-14 20:33:13,272.0
69,Пассивный доход | Инвестирование,22417,https://t.me/dohod_investment,"Просто и доступно об инвестициях, личных финансах и экономике.",2020-10-13 13:00:49,2341.0
70,Фрикономика,22285,https://t.me/bancrotto,"Банки, деньги и экономика будущего.",2021-09-07 18:36:52,1213.0
71,Капитал,21097,https://t.me/sgcapital,Канал Сергея Григоряна.,2017-04-04 20:59:13,72.0
72,Ф,20768,https://t.me/progressinvest,С,2017-02-01 08:46:08,
73,InveStory,20671,https://t.me/investorylife,InveStory — проект Максима Пасканова и Владислава Решетняка об инвестициях на фондовом рынке в акции.,2019-10-03 01:55:51,20.0
75,INV,20042,https://t.me/inv_invest,Взгляд на рынок,2020-08-14 13:39:49,4346.0
76,ИНВЕСТ НАВИГАТОР,19402,https://t.me/Bablopobezhdaetzlo,https://boosty.to/investnavigator,2018-11-15 09:18:37,562.0
77,Торгуем со Старым трейдером | Трейдинг и инвестиции,19307,https://t.me/staryy_treyder21,Основной канал - https://t.me/+0WaJo7St22w4ZmIy,2020-10-09 16:32:25,1367.0
78,Твой инвестор,19051,https://t.me/tvoyinv,️Торговля на российском рынке. Инвестиционные идеи и аналитика.,2020-03-03 15:14:57,1531.0
